finyear,state_code,state_name,district_code,district_name,onboard_egspi,pv_initiated,pv_approved,year_closed
2020-2021,14,manipur,716,tengnoupal,0,0,0,0
2020-2021,14,manipur,717,kamjong,0,0,0,0
2020-2021,14,manipur,254,churachandpur,0,0,0,0
2020-2021,14,manipur,258,tamenglong,0,0,0,0
2020-2021,14,manipur,714,noney,0,0,0,0
2020-2021,14,manipur,257,senapati,0,0,0,0
2020-2021,14,manipur,715,pherzawl,0,0,0,0
2020-2021,14,manipur,712,kangpokpi,0,0,0,0
2020-2021,14,manipur,260,ukhrul,0,0,0,0
2020-2021,14,manipur,253,chandel,0,0,0,0
2020-2021,36,telangana,720,mulugu,0,0,0,0
2020-2021,36,telangana,507,hyderabad,0,0,0,0
2020-2021,36,telangana,683,rajanna sircilla,0,0,0,0
2020-2021,35,andaman and nicobar islands,632,north and middle andaman,0,0,0,0
2020-2021,35,andaman and nicobar islands,602,south andamans,0,0,0,0
2020-2021,35,andaman and nicobar islands,603,nicobars,0,0,0,0
2020-2021,13,nagaland,247,mon,0,0,0,0
2020-2021,13,nagaland,249,tuensang,0,0,0,0
2020-2021,13,nagaland,613,peren,0,0,0,0
2020-2021,13,nagaland,244,dimapur,0,0,0,0
2020-2021,13,nagaland,615,longleng,0,0,0,0
2020-2021,13,nagaland,614,kiphire,0,0,0,0
2020-2021,13,nagaland,251,zunheboto,0,0,0,0
2020-2021,13,nagaland,736,noklak,0,0,0,0
2020-2021,13,nagaland,246,mokokchung,0,0,0,0
2020-2021,19,west bengal,702,kalimpong,0,0,0,0
2020-2021,19,west bengal,315,kolkata,0,0,0,0
2020-2021,38,the dadra and nagar haveli and daman and diu,465,dadra and nagar haveli,0,0,0,0
2020-2021,38,the dadra and nagar haveli and daman and diu,463,daman,0,0,0,0
2020-2021,38,the dadra and nagar haveli and daman and diu,464,diu,0,0,0,0
2020-2021,27,maharashtra,482,mumbai,0,0,0,0
2020-2021,27,maharashtra,483,mumbai suburban,0,0,0,0
2020-2021,34,puducherry,600,pondicherry,0,0,0,0
2020-2021,34,puducherry,601,yanam,0,0,0,0
2020-2021,34,puducherry,598,karaikal,0,0,0,0
2020-2021,34,puducherry,599,mahe,0,0,0,0
2020-2021,29,karnataka,738,vijayanagar,0,0,0,0
2020-2021,18,assam,299,dima hasao,0,0,0,0
2020-2021,18,assam,739,bajali,0,0,0,0
2020-2021,18,assam,294,kokrajhar,0,0,0,0
2020-2021,18,assam,617,udalguri,0,0,0,0
2020-2021,18,assam,292,karbi anglong,0,0,0,0
2020-2021,18,assam,710,west karbi anglong,0,0,0,0
2020-2021,33,tamil nadu,568,chennai,0,0,0,0
2020-2021,12,arunachal pradesh,725,shi yomi,0,0,0,0
2020-2021,12,arunachal pradesh,628,anjaw,0,0,0,0
2020-2021,12,arunachal pradesh,724,leparada,0,0,0,0
2020-2021,12,arunachal pradesh,719,lower siang,0,0,0,0
2020-2021,17,meghalaya,658,south west khasi hills,0,0,0,0
2020-2021,17,meghalaya,656,north garo hills,0,0,0,0
2020-2021,17,meghalaya,276,ri bhoi,0,0,0,0
2020-2021,17,meghalaya,663,south west garo hills,0,0,0,0
2020-2021,17,meghalaya,273,east garo hills,0,0,0,0
2020-2021,17,meghalaya,277,south garo hills,0,0,0,0
2020-2021,17,meghalaya,657,east jaintia hills,0,0,0,0
2020-2021,17,meghalaya,275,west jaintia hills,0,0,0,0
2020-2021,17,meghalaya,278,west garo hills,0,0,0,0
2020-2021,17,meghalaya,279,west khasi hills,0,0,0,0
2020-2021,17,meghalaya,274,east khasi hills,0,0,0,0
2020-2021,31,lakshadweep,553,lakshadweep district,0,0,0,0
2020-2021,4,chandigarh,44,chandigarh,0,0,0,0
2020-2021,16,tripura,269,dhalai,151,1154,1033,151
2020-2021,16,tripura,270,north tripura,129,1620,1429,129
2020-2021,16,tripura,655,unakoti,94,644,581,94
2020-2021,16,tripura,654,gomati,173,1246,1130,173
2020-2021,16,tripura,652,khowai,124,730,666,124
2020-2021,16,tripura,272,west tripura,172,1582,1468,172
2020-2021,16,tripura,271,south tripura,169,613,557,169
2020-2021,16,tripura,653,sepahijala,169,1583,1414,169
2020-2021,8,rajasthan,86,ajmer,318,226,226,324
2020-2021,8,rajasthan,87,alwar,568,1016,978,575
2020-2021,8,rajasthan,88,banswara,410,4189,3953,408
2020-2021,8,rajasthan,89,baran,225,997,944,230
2020-2021,8,rajasthan,90,barmer,640,2449,2389,666
2020-2021,8,rajasthan,91,bharatpur,400,8980,8722,399
2020-2021,8,rajasthan,92,bhilwara,132,0,0,371
2020-2021,8,rajasthan,93,bikaner,329,711,692,364
2020-2021,8,rajasthan,94,bundi,184,1918,1808,184
2020-2021,8,rajasthan,95,chittorgarh,272,282,264,295
2020-2021,8,rajasthan,96,churu,304,3094,2977,304
2020-2021,8,rajasthan,97,dausa,285,423,382,284
2020-2021,8,rajasthan,98,dholpur,190,3490,3138,190
2020-2021,8,rajasthan,99,dungarpur,351,4617,4405,351
2020-2021,8,rajasthan,100,ganganagar,339,0,0,341
2020-2021,8,rajasthan,101,hanumangarh,258,1232,1182,268
2020-2021,8,rajasthan,102,jaipur,598,3010,2813,603
2020-2021,8,rajasthan,103,jaisalmer,206,722,657,205
2020-2021,8,rajasthan,104,jalore,300,622,590,307
2020-2021,8,rajasthan,105,jhalawar,226,4702,4627,254
2020-2021,8,rajasthan,106,jhunjhunu,337,3075,2934,337
2020-2021,8,rajasthan,107,jodhpur,624,5480,5159,608
2020-2021,8,rajasthan,108,karauli,236,6684,6509,239
2020-2021,8,rajasthan,109,kota,156,1237,1213,156
2020-2021,8,rajasthan,110,nagaur,421,259,241,495
2020-2021,8,rajasthan,111,pali,175,0,0,313
2020-2021,8,rajasthan,112,rajsamand,212,1341,1238,201
2020-2021,8,rajasthan,113,sawai madhopur,200,1704,1590,206
2020-2021,8,rajasthan,114,sikar,342,947,881,373
2020-2021,8,rajasthan,115,sirohi,126,924,894,157
2020-2021,8,rajasthan,116,tonk,236,2230,2144,236
2020-2021,8,rajasthan,117,udaipur,594,2687,2558,638
2020-2021,8,rajasthan,629,pratapgarh,223,1760,1720,226
2020-2021,21,odisha,352,dhenkanal,212,752,699,212
