S.NO,SECTION,DV,m2,PP,BEEE,FL,FIMS,TOTAL,Total,Percentage,Grade
1.0,ALPHA,12.0,0.0,17.0,9.0,19.0,15.0,482.0,72.0,60.0,D
2.0,ALPHA,19.0,12.0,16.0,16.0,18.0,3.0,564.0,84.0,70.0,C
3.0,ALPHA,18.0,14.0,18.0,18.0,18.0,16.0,686.0,102.0,85.0,B
4.0,ALPHA,15.0,9.0,19.0,17.0,19.0,15.0,634.6666666666666,94.0,78.33333333333333,C
5.0,ALPHA,18.0,17.0,19.0,19.0,20.0,18.0,750.0,111.0,92.5,A
6.0,ALPHA,17.0,16.0,18.0,10.0,15.0,9.0,578.6666666666667,85.0,70.83333333333334,C
7.0,ALPHA,15.0,10.0,20.0,20.0,15.0,14.0,640.6666666666666,94.0,78.33333333333333,C
8.0,ALPHA,17.0,17.0,19.0,20.0,19.0,13.0,716.0,105.0,87.5,B
9.0,ALPHA,10.0,18.0,0.0,20.0,19.0,15.0,182.0,0.0,0.0,F
10.0,ALPHA,18.0,19.0,20.0,20.0,20.0,15.0,766.6666666666665,112.0,93.33333333333331,A
11.0,ALPHA,17.0,18.0,20.0,18.0,20.0,18.0,762.0,111.0,92.5,A
12.0,ALPHA,20.0,20.0,20.0,20.0,19.0,16.0,790.6666666666667,115.0,95.83333333333334,A
13.0,ALPHA,16.0,18.0,11.0,15.0,19.0,15.0,652.6666666666666,94.0,78.33333333333333,C
14.0,ALPHA,17.0,17.0,18.0,11.0,15.0,9.0,608.0,87.0,72.5,C
15.0,ALPHA,19.0,20.0,20.0,20.0,18.0,12.0,756.6666666666665,109.0,90.83333333333331,A
16.0,ALPHA,13.0,18.0,17.0,19.0,16.0,9.0,645.3333333333334,92.0,76.66666666666667,C
17.0,ALPHA,15.0,17.0,18.0,17.0,17.0,13.0,680.6666666666666,97.0,80.83333333333333,B
18.0,ALPHA,11.0,8.0,18.0,15.0,19.0,15.0,609.3333333333334,86.0,71.66666666666667,C
19.0,ALPHA,14.0,12.0,16.0,16.0,20.0,14.0,651.3333333333334,92.0,76.66666666666667,C
